Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Wealthy Positive,Wealthy Negative,Wealthy Neutral,Non-wealthy,Non-wealthy Positive,Non-wealthy Negative,Non-wealthy Neutral
Lady Chatterley's Lover,D.H. Lawrence,https://www.gutenberg.org/ebooks/4232.txt.utf-8,class/gender bias,The inter-class relationships and the scandal of an affair between an aristocratic woman and a working-class man challenge the strict social codes of post-World War I England.,many new natural least fair broad green silent familiar golden short wide dry thin noble usual greatest distant eternal open,new natural fair broad familiar golden noble greatest eternal open,least silent short dry thin usual distant,many green wide,last rare free less many fresh particular simple private larger next gray actual steady poetic partial foreign false able proper,rare free fresh particular larger actual steady poetic able proper,less simple gray foreign false,last many private next partial,great Indian best white modern dead deep ready clear remarkable — graceful sunny fine yellow solitary highest quiet slow necessary,Great best modern deep ready clear remarkable graceful sunny fine highest necessary,Dead quiet solitary slow,Indian white — yellow,old good “ small current little poor greater low better young serene real strange light mere pure easy famous singular,good greater better young serene real light pure easy famous singular,poor low old strange,“ small current little mere,much thy little ’ whole wild present native ” electronic ancient higher equal gentle perfect beautiful rich various constant forest,thy little whole present native electronic ancient higher equal gentle perfect beautiful rich various constant forest,ancient wild,much ’ ”,first true long high full distant common human large pleasant former visible bright red certain slight early English opposite dark,first true long high full pleasant visible bright early human certain,distant common slight opposite dark,large former red English
Jane Eyre,Charlotte Bronte,https://www.gutenberg.org/ebooks/1260.txt.utf-8,gender and class bias,"Bronte challenges gender and class bias by presenting Jane as an independent and moral character who strives for personal freedom and equality, defying the era's norms of social hierarchy and gender roles.",great full certain white open pale high less afraid able heavy solitary dear sudden weak independent vague sick audible narrative,great full certain open high able heavy dear independent,less afraid solitary weak sick,white pale vague audible narrative sudden,long best fine wild strong right short sir. true dead rich glad light sweet necessary hot you. bitter warm red,best fine strong right true rich glad light sweet necessary hot warm,wild short dead bitter,long sir. you. red,new strange black quiet poor cold bright hard usual pleasant natural tall late handsome past thin to-night clean wide blue,Bright pleasant natural tall handsome clean new,Strange quiet poor cold hard usual late,black past thin to-night wide blue,young second electronic ready beautiful fresh wrong single enough future secret noble active early dry feeble brief married sensible rough,young ready beautiful fresh single noble active married sensible enough early,wrong dry feeble secret rough,second electronic future brief,“ little last ’ much better least large low many present human whole silent mere soft bad happy fair narrow,little last better least large low many present human whole silent mere soft bad happy fair narrow,bad,“ ’ much,” good first old sure dark small deep next clear French different real it. green third sad broad contrary ’,good first sure clear real deep,dark small sad contrary,” old next French different it. green third broad ’
Middlemarch,George Eliot,https://www.gutenberg.org/ebooks/145.txt.utf-8,gender/class bias,"The complexities of social hierarchy and gender issues in a provincial town are navigated through a rich tapestry of characters, showing the challenges women face in a male-dominated society.",” last possible present full easy less clear hard particular dear personal necessary glad difficult deep peculiar poor anxious angry,possible present full easy clear particular dear personal necessary glad deep,less last hard difficult peculiar poor anxious angry,”,young right ’ happy different agreeable free various active social light slight spiritual fair pleasant miserable highest easier cold intense,young right happy agreeable free active social light spiritual fair pleasant highest intense,slight miserable cold,’ different various easier,much ” better young first fine large long many public conscious worse aware short disagreeable quiet fresh inward sad quick,Better young first fine conscious aware fresh quick,Worse short disagreeable quiet inward sad,much ” large long many public,little small private second white painful unpleasant dear late impossible beautiful early contrary useful delightful sweet black remarkable false heavy,dear beautiful early useful delightful sweet remarkable,painful unpleasant late impossible contrary false,little small private second white black heavy,sure usual next medical open whole good high silent least mere first chief great higher apt independent electronic stronger future,sure usual next medical open whole good high first chief great higher apt independent stronger future,worse silent least,mere electronic,good ’ “ old little new great poor best certain many bad strong true ready wrong able much low likely,good new great best strong ready true certain able,old poor bad wrong low little,’ “ many much likely
She,H. Rider Haggard,https://www.gutenberg.org/ebooks/3155.txt.utf-8,racial/gender bias,"The novel portrays racial and gender biases through its depiction of a powerful ancient queen in Africa, reflecting Victorian attitudes of racial superiority and the exoticization of foreign cultures, while also commenting on the perceived dangers of female authority.",little ” much large true ancient small cold new happy able fifty fair big mine full enormous weak upon like,large true new happy able fair big full enormous,little ancient weak small cold,” much fifty mine upon like,thou awful terrible human perfect clear heavy best electronic better low mysterious lest ten particular previous wrong ye mad farther,human perfect clear heavy best better particular,awful terrible mysterious wrong mad,thou electronic low lest ten previous ye farther,“ poor black high next possible second certain horrible tremendous usual utter oh naught sick sweet broad bad following smaller,High possible certain tremendous sweet,Poor horrible naught sick smaller bad,“ black next second usual utter oh broad following,great dead white ’ young strange curious right huge strong sudden natural Egyptian soft quiet yellow common third hard empty,great young curious right strong natural soft ,dead strange empty hard quiet common,white ’ huge sudden Egyptian yellow third,whole beautiful full light rocky red ready similar fresh dear necessary tall past dry worse sharp marvellous handsome several silent,whole beautiful full light ready similar fresh dear necessary tall past marvellous handsome several silent,worse silent cocky sharp,rocky red dry,old last thy many first good long wonderful evil least dreadful extraordinary sure deep vast dark thee wild glorious thine,wonderful extraordinary deep vast glorious first good sure,old evil least dreadful dark wild,last thy many long thee thine
The Mayor of Casterbridge,Thomas Hardy,https://www.gutenberg.org/ebooks/143.txt.utf-8,class bias,"The story revolves around a man who rises to prominence in a small town, but his past and the class structures of the time govern his fate, illustrating the powerful influence of social standing on personal destiny.",“ much little present sure curious less anxious younger free visible front lonely social able old-fashioned red corn-merchant impossible,present sure curious younger free visible social able,little anxious lonely impossible,“ much less front old-fashioned red corn-merchant,“ ’ next true bad general strong white green certain natural serious right wrong several fine secret higher apparent distant,true strong certain serious right fine higher apparent,bad wrong secret distant,“ ’ next general white green natural several,poor deep short early back original slight occasional forty upper glad twelve Good sharp likely proper bitter extreme remote comfortable,Deep original upper glad good proper comfortable,Poor short sharp bitter extreme remote,early back slight occasional forty twelve likely,young old first many small dead whole low high black real public to-day new single least ye necessary clear warm,young first high real new necessary clear warm,dead low least old,many small whole black public to-day single ye,new little open best silent human simple possible rich dark third different particular local me. obvious willing interested longer humble,new open best human possible rich particular local willing interested humble,obvious silent simple dark,little third different me. longer,’ ” good last great little second long large full better former late past fair hard respectable common latter usual,good great better fair respectable,late hard,’ ” last little second long large full former past common latter usual
Howard's End,E.M. Forster,https://www.gutenberg.org/ebooks/2891.txt.utf-8,class bias,"This narrative delves into the class distinctions and conflicts of early 20th-century England, weaving a tale of a family and their country home as symbols of a changing society where class barriers are both upheld and challenged.",” little ’ young better bad important many it. silent personal natural glad afraid special true practical right absurd free,better important personal natural glad special true practical right free,little bad silent afraid absurd,” ’ young many it.,much right possible clear less flat false empty interesting able higher all. older foolish content tiresome longer invisible artistic public,right possible clear interesting able higher older content artistic,flat false empty less foolish tiresome invisible,much all. longer public,long wrong certain human dead whole anxious white open alive particular black second small easy true greater fine worth careful,Certain human whole open alive particular easy true greater fine worth careful,wrong dead anxious small,long white black second,’ last next least sure present big angry necessary whole pleasant stupid me. red immense sad large social funny sharp,sure present whole pleasant immense large social funny,angry necessary stupid red immense sad sharp least,’ last next big me.,“ ” poor new little real dear difficult impossible worse common sorry interested second terrible usual due tired enough steady,new real dear interested enough steady,worse sorry tired poor difficult impossible common terrible usual,“ ” little second due,’ good old great first ” full ‘ beautiful different rich best many electronic serious strong happy odd quiet late,good great first full beautiful rich best strong happy ,old odd quiet late serious,’ ” ‘ different many electronic
This Side of Paradise,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/805.txt.utf-8,class bias,"The bildungsroman portrays the struggle of a young man from an affluent background against the expectations of high society, revealing the superficiality and disenchantment of the post-WWI generation.",little full blue happy cold senior soft free great able clear eternal French mad conscious private nice usual emotional big,full happy senior soft free great able clear conscious nice big,little blue cold mad emotional,eternal French private usual,great next new sure electronic small present bad strong strange right wonderful wrong Good interested important curious safe Amory bright,great new sure present strong right wonderful good interested curious safe bright important,small bad strange wrong,next electronic Amory,first several white social green light human thin vague easy glad true physical hot possible evil mental rare common quick,first social light human easy glad true physical possible mental quick rare,vague evil common,several white green thin hot,last many long big whole certain sudden golden black large nervous popular to-night older stupid heavy ten least hundred less,certain golden popular,nervous less stupid least,last many long big whole sudden black large to-night older heavy ten hundred,old little poor gray better dead hard real early wild deep dark big yellow late low red natural pale critical,better real early deep natural,poor critical old gray dead hard wild dark late low pale,little big yellow red,much good young best beautiful high second afraid American brilliant romantic open tired different artificial rich general literary sentimental fair,good young best beautiful high brilliant romantic open rich literary sentimental fair,afraid tired artificial,much second American different general
A Portrait of the Artist as a Young Man,James Joyce,https://www.gutenberg.org/ebooks/4217.txt.utf-8,class bias,"Through the experiences of a young artist, the novel examines the stranglehold of social class on personal development and the conflict between individual expression and societal expectations in Ireland.",little great new ’ esthetic —I dead big small heavy weary much conscious dull hard nice clear single weak third,great new nice conscious clear,little dead small weary dull hard weak third,’ esthetic —I big heavy much single,strange right green whole human greatest certain hot fine sinful late thick christian willful enchanted brown subtle general greater raw,whole fine human greatest certain hot willful enchanted subtle greater right,strange sinful late raw,green thick christian brown general,old white warm red long high vague different tiny false slow mortal present short awful best unseen endless damp universal,Warm high Present best universal,Vague different false slow mortal short awful unseen endless damp,old white red long tiny,first last long good quiet sudden free dear black sure bad second better evil angry happy earthly narrow foul fair,first good free dear better happy earthly fair,bad evil angry foul quiet narrow,last long sudden black sure second,dark ’ many poor holy next true secret low proud thin humble idle deep blue higher sad wild instant common,holy true proud thin humble deep higher instant common,dark poor idle sad wild common secret low,’ many next blue,cold young soft full beautiful good electronic silent pale fellow Irish —The terrible spiritual yellow loud tall vast open simple,young soft beautiful good fellow spiritual tall open simple,cold terrible loud silent pale,full electronic Irish —The yellow vast
The Awakening,Kate Chopin,https://www.gutenberg.org/ebooks/160.txt.utf-8,gender bias,"The book addresses the struggle of a woman against the societal expectations of the late 19th century, particularly in the American South, as she seeks personal and sexual freedom, challenging the traditional roles assigned to women.",little “ ” good young first new soft last long certain warm true many happy sweet strong genuine sure cold,good young first new soft long certain warm true happy sweet strong genuine sure,little last cold,“ ” many,quiet late able broad deep human easy excellent French past unhappy longer particular personal pleased uneasy asleep smooth nervous monotonous,able deep human easy excellent particular personal pleased smooth,quiet late unhappy uneasy nervious monotonous,broad French past longer asleep nervous,white whole next much low open pleasant better yellow rare different strange intimate thin outside general hard curious uncomfortable red,Whole open pleasant better rare intimate curious,Different strange hard uncomfortable,white next much low yellow thin outside general red,big early red large familiar bright fair green blue huge front physical delicate married daily light subtle brown various surprised,early familiar bright fair front physical delicate married light subtle surprised,,big red large green blue huge daily brown various,black small great electronic many ready heavy dear beautiful rich long glad poor gray it. narrow hungry usual handsome second,great ready dear beautiful rich glad poor gray handsome,poor gray hungry narrow heavy usual,black small electronic many long it. second,’ old full delicious high dead free hot tall dark close quick disagreeable ‘ impossible present clear interested neighboring occasional,full delicious high hot tall dark close interested neighboring free quick,dead disagreeable impossible,’ old ‘ present clear occasional
A Room with a View,E.M. Forster,https://www.gutenberg.org/ebooks/2641.txt.utf-8,class and gender bias,"The story depicts a young woman's struggle with the restrictive social conventions of Edwardian England, especially the constraints on travel and relationships, as she is torn between the expectations of her class and her desire for emotional and intellectual freedom.",’ little “ last better sorry dreadful nice bad glad certain least long impossible late angry white usual open best,better nice glad certain long open best,little last sorry dreadful bad least impossible late angry,’ “ white usual,good full many wrong happy wonderful delightful fair easy English nervous interested clear ready hard sympathetic unpleasant several hot rid,good full happy wonderful delightful fair easy interested clear ready sympathetic hot,wrong nervous unpleasant rid,many English hard several,’ first beautiful it. small odd real second conscious black whole red last unfortunate alive worse original foolish clean Miss,Beautiful real conscious alive original clean first,Small odd unfortunate worse foolish,’ it. second black whole red last Miss,great new sure right poor pleasant ‘ possible different glorious cold wish clever tiresome anxious difficult big suitable narrow unexpected,great new sure right pleasant possible glorious wish clever suitable ,cold tiresome unexpected poor anxious narrow cold difficult,‘ different big,much able necessary long present terrible sad blue silly you. gracious modern us. whole delicate Lavish splendid tactful sensible yellow,able necessary present gracious modern whole delicate Lavish splendid tactful sensible,sad silly desperate,much long terrible blue you. us. yellow,” “ old young true dear electronic Italian silent next high human heavy less third worth gentle free public Good,young true dear silent next high gentle free public Good worth human,less,” “ old electronic Italian heavy third
The History of Mr. Polly,H.G. Wells,https://www.gutenberg.org/ebooks/7308.txt.utf-8,class bias,"The protagonist's dissatisfaction with his mundane life reflects the class biases of early 20th-century England, emphasizing the limitations and frustrations of lower-middle-class existence.",little full good best electronic open many blue aware active warm back .... peculiar grey wide impossible real empty poor,full good best open aware active warm real,little peculiar gray impossible empty poor,electronic many blue back .... grey wide,last black young human cold second whole high busy brown public short utmost considerable extraordinary strange distant serious difficult thin,young human high busy considerable extraordinary serious,cold strange distant difficult,last black second whole brown public short utmost thin,great first much free pleasant dead particular urgent various odd worse slow instant interesting fair remarkable ordinary friendly secret top,Great first pleasant particular instant interesting fair remarkable friendly free,Dead urgent odd worse slow ordinary secret,much various top,old long white bad good happy better certain hard bright broken possible agreeable general social sure late infinite thoughtful least,good happy better certain bright possible agreeable social sure infinite thoughtful,bad broken late least old hard,long white general,new fat clear next several quiet wrong disagreeable fifteen curious pretty simple clean helpless Elfrid attractive early fresh present desperate,new clear curious pretty clean attractive early fresh present ,wrong desperate simple fat quiet disagreeable helpless ,next several fifteen Elfrid,small large right red big beautiful green nice funeral broad wonderful fine third different Good hot strong mysterious spectacled larger,right beautiful nice wonderful fine Good strong mysterious larger,funeral spectacled,small large red big green broad third different hot
The Thirty-Nine Steps,John Buchan,https://www.gutenberg.org/ebooks/558.txt.utf-8,class bias,"The protagonist's adventures reveal the British class system, as he navigates a world of gentlemanly honor and working-class practicality while uncovering a political conspiracy.",little old good “ first green British German short hard left cold odd clean thick peaceful respectable enough rough hungry,good  clean thick peaceful respectable enough,little short hard cold odd rough hungry,old “ first green British German left,big great white high different back hundred right likely sick particular bright interested main fifty broken absolute innocent nervous younger,big great high right particular bright interested main innocent younger absolute,sick broken nervous,white different back hundred likely fifty,fine second easy soft true secret half-past English ready wide late many proper great fresh grey tiny mad false upper,Fine easy soft true ready proper fresh upper,Secret late Grey tiny mad,second half-past English wide many great FALSE,’ last ” electronic black ordinary free brown important deep local strong pleasant thirty-nine heavy warm sure safe difficult common,free important deep local strong pleasant heavy warm sure safe ,ordinary common difficult last,’ ” electronic black brown thirty-nine,’ young next full whole certain best open several dead ten fair wild red less much worse dark Good sudden,young full whole certain best open several fair good ,worse sudden dead wild less dark,’ next ten red much,better long new clear much blue flat low small bad real regular public slow possible third honest cool clever cheerful,better long clear flat honest cool clever cheerful new real possible,bad slow,much blue low small regular public third
An Outcast of the Islands,Joseph Conrad,https://www.gutenberg.org/ebooks/638.txt.utf-8,racial bias,"The plot explores racial bias through the downfall of a Western man in an Eastern setting, examining the destructive impact of colonial attitudes and the misperception of different races and cultures.",little good sudden small much high dead ready hard quick whole bitter invisible dry brilliant vague thick superior violent,good high ready quick hole brilliant superior,little small dead hard bitter invisible dry violent,sudden much whole vague thick,last strong quiet red open young right silent true strange soft mad next able better current green indistinct possible blind,strong open young right true soft able better current possible,quiet silent strange mad indistinct blind,last red next green,clear last second loud poor wild light alive sombre rich easy free perfect anxious certain steady attentive irresistible lower feeble,clear light alive rich easy free perfect certain steady attentive irresistible,last loud poor wild sombre anxious lower feeble,second,great long short angry first immense afraid cold slight sharp wide dangerous broad successful worth fresh calm enough blue frightened,great first broad successful worth fresh calm enough ,angry afraid frightened cold sharp dangerous,long short immense slight wide blue,white big black safe deep dark heavy human happy rapid empty narrow hot thin dull bad glorious impenetrable straight gloomy,safe deep human happy rapid glorious impenetrable,dark heavy empty narrow hot thin dull bad gloomy,white big black straight,old many full low first new unexpected best weak close past distant stiff gentle confidential awful distinct cool unsteady tired,first new unexpected weak gentle cool best distinct confidential,low distant stiff awful unsteady tired old,many full close past
Bleak House,Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8,class bias,"Dickens exposes class bias and the inequities of the British legal system, which privileges the wealthy and powerful while the poor suffer interminable delays and injustices.",young sure happy general low black able late ready necessary dead agreeable pretty particular light different greater excellent difficult hot,young sure happy able ready necessary agreeable pretty particular greater excellent hot,low late dead difficult,general black light different,little dear good fine natural strange easy heavy free fresh many Good professional red sharp guardian perfect mere dark dry,dear good fine natural easy free fresh good professional perfect guardian,strange sharp dark dry little,heavy many red mere,old “ great last better ’ guardian best full next open glad possible bad bright curious likely less human sorry,great better guardian best full open glad possible bright curious human,bad last less sorry old,“ ’ next likely,much ” certain pleasant afraid cold rich handsome it. private public real respectable interested sensible noble ill faithful to-night honourable,certain pleasant rich handsome real respectable interested sensible noble faithful honourable,afraid cold ill,much ” it. private public to-night,young much long new last true hard strong beautiful quiet worse considerable miserable it. cheerful dearest greatest ten active wild,young new true strong beautiful considerable cheerful dearest active greatest,last hard quiet worse miserable wild,much long it. ten,’ ” little good “ old dear great many poor first present whole right usual high large Lady least short,good dear great first right usual high Lady present whole,poor least,’ ” little “ old many large short
Madame Bovary,Gustave Flaubert,https://www.gutenberg.org/ebooks/2413.txt.utf-8,gender bias,"The societal constraints and double standards faced by women in 19th-century France are explored, with the protagonist's pursuit of passion leading to her tragic downfall.",old poor young better short vague little serious public notary ‘ rid straight brown usual impossible gentle various table yellow,young better gentle,old poor short vague little serious public impossible,notary ‘ rid straight brown usual various table yellow,full ” blue beautiful second big strong wrong ready angry sure terrible immense past wooden opposite grand weak anxious early,full beautiful big strong ready sure immense grand early,blue wrong angry terrible opposite weak anxious,” second past wooden,large black next red many certain low silent sad yellow wide dear contrary cold light best coarse bad third Good,certain light best good,low silent sad contrary cold coarse bad,large black next red many yellow wide dear third,open fine whole happy dead possible fair high different soft sweet hot deep regular hundred dry nervous left busy broken,open fine whole happy fair high soft sweet hot deep busy ,dead nervous broken dry,possible different regular hundred left,little ” ’ first pale “ electronic heavy several able sharp black necessary sudden empty eternal present single dark thick,first able necessary eternal present,pale heavy sharp empty,little ” ’ “ electronic several black sudden single dark thick,“ last good long great much white small new green least senior true fresh right less afraid golden free extraordinary,good new true fresh right golden free extraordinary great ,last long much small least less afraid,“ white green senior
The Princess and the Goblin,George MacDonald,https://www.gutenberg.org/ebooks/34339.txt.utf-8,class bias,"The fairy tale narrative subtly critiques class distinctions, as the young princess must learn to navigate and eventually bridge the gap between the royal world and the miners.",old new second bad certain curious horrid present big happy blue different lower pleasant precious hot older frightened free difficult,new certain present big happy pleasant precious free curious hot,old second vague silent remote foolish bad horrid blue different lower older frightened difficult,#N/A,safe white open dark nice young wild best clear hideous asleep sharp late rude wrong opposite weak aware top loveliest,safe open nice young best clear aware loveliest,dark hideous sharp late rude wrong opposite weak,white wild asleep top,great many first full afraid least last able small ready to-night red dear sorry soft single third fresh rough wrong,great first able ready dear soft fresh,afraid least last small sorry rough wrong,many full to-night red single third,electronic better whole true narrow lovely white light grand tiny straight careful fine silent thread usual former solid hungry fast,better whole true lovely light grand careful fine solid fast,hungry narrow silent,electronic white tiny straight thread usual former,good sure much beautiful strange several queen hard high natural anxious particular considerable long-legged sufficient thick constant half uncomfortable terrible,good sure beautiful queen high natural particular considerable long-legged sufficient,strange hard anxious uncomfortable terrible,much several thick constant half,little long next huge right low large horrible sweet strong glad poor quiet various miserable smooth possible dreadful steep unable,right sweet strong glad smooth dreadful steep Unable possible,low large horrible poor quiet miserable,little long next huge various
Dubliners,James Joyce,https://www.gutenberg.org/ebooks/2814.txt.utf-8,class bias,"The collection of short stories vividly paints the stratification of Irish society, focusing on the paralysis and stagnation of the middle and lower classes in early 20th-century Dublin.",young poor last silent cold fine brown warm hard soft front whole huge first small tall able younger vague foolish,fine warm soft whole huge tall able first,poor last silent cold hard small foolish,young brown front younger vague,“ white nice black hot ready next green decent bright strong strange friendly general wild fat angry German curious ten,ready decent bright strong friendly curious nice,hot strange wild fat,“ white black next green general angry German ten,many dark dead new large red better high best open serious sure thin grand sudden French different constable musical secret,better high best open sure grand musical,dark dead serious secret,many new large red thin sudden French different constable,” electronic bad Little light small big free blue true late wrong fair lower low present conscious thick human past,light free true fair present conscious human,bad wrong low past lower,” electronic Little small big blue late thick,long right sure short last .... small upper _The Irish pleasant deep afraid private final third nervous terrible fellow flat,right sure pleasant fellow deep,last small afraid private nervous terrible flat,long short .... upper _The Irish final third,little ’ old good young great first full much certain second beautiful least big heavy nose grey dull gay sorry,good young first beautiful gay great,old certain heavy grey dull sorry least,little ’ full much second big nose
Sister Carrie,Theodore Dreiser,https://www.gutenberg.org/cache/epub/5267/pg5267.txt,class and gender bias,"The narrative follows a young woman's ascent from rural obscurity to the bustling city, examining how gender and class shape her experiences and relationships, and the often insurmountable barriers to success for women and the working class.",first long great better large whole right poor easy weary usual individual personal keen Several clean dramatic theatrical regular silent,first long great better large whole right easy individual personal keen clean ,poor weary dramatic theatrical silent,usual Several regular,little next small full best pleasant high third social slight wholesale miserable anxious terrible sharp worth successful broad sick hundred,full best pleasant high social sharp worth successful broad,little small miserable anxious terrible sick,next third slight wholesale hundred,least mental strong pretty general to-night electronic white glad soft warm mere dull enough interesting early due wrong deep familiar,strong pretty mental warm glad interesting early soft enough deep familiar,least dull wrong,general to-night electronic white mere due,much open present comfortable ready clear several hard happy big natural different ten bright blue weak excellent curious vague proper,open present comfortable ready clear happy natural bright excellent curious proper,hard weak proper vague,much several big different ten blue,good new flat great rich bad strange possible nervous serious nice busy to-day red true hungry real free interested green,good new great rich possible nice busy true real free interested,flat bad strange nervous hungry serious,to-day red green,little last old fine young many certain several sure cold difficult second common short peculiar delightful disagreeable pleased important latter,fine young certain delightful pleased important,old difficult disagreeable,little last many several sure cold second common short peculiar latter
The Call of the Wild,Jack London,https://www.gutenberg.org/ebooks/215.txt.utf-8,class bias,"The novel portrays the domestication of a previously free animal, paralleling the class struggles of the time by demonstrating how external circumstances can impose a new identity and status upon an individual.", good hundred nose third true easy short primordial loose half sharp fourteen different afraid yellow hairy previous hostile spruce-bough,good true easy,short sharp afraid hostile,hundred nose third primordial loose half fourteen different yellow hairy previous spruce-bough,first many wild full whole soft terrible big greater alive quick bad poor nest free frozen splendid apparent fifty low,first full whole soft big greater alive quick free splendid,wild terrible bad poor frozen low,many nest apparent fifty,“ dead little red small weak good-natured mad weary fresh friendly fair lower back anxious content sure distant remarkable additional,good-natured fresh friendly fair content sure remarkable,dead small weak mad weary lower anxious distant,“ little red back additional,great old new sled white less wide large least general thin best official sun-kissed worse gee-pole high lean fine stricken,great new best official sun-kissed high fine,less worse stricken old,sled white wide large least general thin gee-pole lean,’ open long main strong second wild cold hard certain aware silent current Several ten blind wounded warm upon likely,open main strong certain aware ,wild cold hard silent wounded,’ long second current Several ten blind warm upon likely,last long strange next much heavy ” right many forest fierce rapid clear constant weazened possible unable young unbroken like,strange right fierce rapid clear constant young,unable unbroken heavy,last long next much ” many forest weazened possible like
Ethan Frome,Edith Wharton,https://www.gutenberg.org/ebooks/4517.txt.utf-8,class bias,"Set in a bleak New England winter, this novel explores how class and personal circumstance trap individuals in unfulfilling lives, highlighting the lack of opportunity and mobility for the lower classes.",long good new “ white silent first great poor certain free vague less wet considerable glad awful frozen grey,good new first great certain free considerable glad ,silent poor awful frozen grey,long “ white vague less wet,first big dark best empty sharp soft better light quiet wild fresh slight snow fifty different slim to-morrow ready high,first big best soft butter light fresh ready hi,empty dark sharp quiet wild,better slight snow fifty different slim to-morrow high,black full sudden low mean main happy strong nearest complete derivative confused tall practical official exempt pathological frightened favourite gray,main happy strong complete tall practical official favourite,low mean derivative confused pathological frightened gray,black full sudden nearest exempt,cold next open hard quick thin hired many immediate pickle-dish least early whole true extra lantern familiar flat perceptible closer,quick hired immediate early whole true familiar perceptible ,cold next hard thin early flat closer,open many pickle-dish least extra lantern,“ last little bad short smart strange previous natural dead sorry aware likely several large sick to-night upper blue left,smart natural aware upper,last little bad short strange dead sorry sick,“ previous likely several large to-night blue left,” old “ young much small usual red heavy sure warm pale clear brown bright late pretty farther older narrow,heavy sure warm clear bright pretty young ,old usual narrow older,” “ much small red pale brown late farther
Oliver Twist,Charles Dickens,https://www.gutenberg.org/ebooks/730.txt.utf-8,class and economic bias,"Dickens reveals class and economic biases by depicting the stark contrasts between the destitute orphan Oliver and the various levels of society, from the criminal underworld to the affluent.",great better it. silent dead particular high certain next worse light weak real previous late small pleasant recent slow hideous,great better high certain real pleasant,solent dead worse weak late small slow hideous,it. silent particular next light previous recent,little new full short former pale least second to-night good safe opposite sharp gloomy rapid present much wide sad hungry,new full good safe rapid present,little short pale opposite sharp gloomy sad hungry,former least second to-night much wide,’ ” dear happy right open full whole possible ready hard afraid several close alive different green secret angry quick,dear happy right full whole possible ready alive,afraid hard secret angry,’ ” open several close different green quick,first large strong dark bad short electronic violent fresh narrow usual mere bright enough fine general earnest worst mad curious,first strong fresh bright enough fine earnest curious,bad violent mad dark short narrow worst,large electronic usual mere general,“ good much white great next loud strange red true anxious porochial desperate free glad sweet considerable feeble sick empty,good great porochial free glad sweet considerable true,loud strange anxious feeble sick empty desperate,“ much white next red,old ’ young ” “ many long last poor small low cold best heavy deep sure quiet black able gentle,young best heavy deep sure quiet able gentle,old last poor small low cold,’ ” “ many long black
David Copperfield,Charles Dickens,https://www.gutenberg.org/ebooks/766.txt.utf-8,class bias,"The journey of a young man from a humble upbringing to success, encountering the rigid class hierarchy of Victorian England, highlights the disparity between wealth and poverty.",right sorry afraid strong pretty greater ’ agreeable unhappy common anxious uncomfortable respectable rough curious familiar handsome pecuniary angry higher,right strong pretty greater agreeable respectable curious familiar handsome higher pecuniary,sorry afraid unhappy common anxious uncomfortable rough angry,’,’ many young ‘ happy dear low humble red true next strange last perfect it. least silent wrong great delightful,young happy dear humble true perfect great delightful,strange last least silent wrong,’ many ‘ low red next it.,sure little whole least possible several late second pleasant young ’ former solitary sensible blue conscious fresh eldest uneasy Good,sure whole possible pleasant young sensible conscious eldest fresh good,least late solitary uneasy,little several second ’ former blue,little much great dear short glad usual small black ready open beautiful past early wild young friendly distant serious sharp,great dear glad ready open beautiful early young friendly ,distant sharp serious wild short,little much usual small black past,old first good best full hard general next natural bad white miserable particular different comfortable clear wonderful deep likely cheerful,first good best full natural particular comfortable deep clear cheerful wonderful,old hard bad miserable,general next white different likely,’ ‘ little good old last long great better poor new present much certain quiet dear first large high dead,little good great better new present certain first high dear,old last poor quiet dead,’ ‘ long much large
Of Human Bondage,W. Somerset Maugham,https://www.gutenberg.org/ebooks/351.txt.utf-8,class bias,"The protagonist's life, from orphaned boy to student doctor, showcases the impact of class on relationships and personal growth, and the pursuit of love across social divides.",fine sorry gray hot willing broad peculiar nervous quiet grateful yellow cheap clean following hungry Spanish bright useful conscious,fine hot willing broad grateful clean bright useful conscious,sorry gray peculiar nervous quiet cheap hungry,yellow following Spanish,’ little good young strange high open free French sudden next late wonderful green dear horrible simple medical quick indifferent,good young high open free wonderful wonderful dear quick,little strange late horrible simple indifferent,’ French sudden next green medical,“ old great able white best afraid poor anxious easy sick funny common impossible many ten odd wrong several human,great able best easy funny human,afraid old poor anxious common sick impossible odd wrong,“ white many ten several,” large last small many usual sure much hard right difficult heavy low good curious past worth you. true cold,sure right good curious worth true ,difficult cold heavy low usual,” large last small many much hard past you.,much black certain happy angry beautiful glad different full due short eager second tall necessary fair soft nice awful German,happy beautiful glad eager necessary fair soft nice certain,angry awful,much black different full due short second tall German,’ little first long last better new ” next red bad pleasant thin possible whole dead silent blue dark ready,first better new pleasant possible ready,little last bad thin dead whole silent dark,’ long ” next red blue
