Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Non-wealthy
The Mayor of Casterbridge,Thomas Hardy,https://www.gutenberg.org/ebooks/143.txt.utf-8,class bias,"The story revolves around a man who rises to prominence in a small town, but his past and the class structures of the time govern his fate, illustrating the powerful influence of social standing on personal destiny.",“ much little present sure curious less anxious younger free visible front lonely social able old-fashioned red corn-merchant impossible,present sure curious younger free visible social able,little anxious lonely impossible,“ much less front old-fashioned red corn-merchant,“ ’ next true bad general strong white green certain natural serious right wrong several fine secret higher apparent distant,true strong certain serious right fine higher apparent,bad wrong secret distant,“ ’ next general white green natural several,poor deep short early back original slight occasional forty upper glad twelve Good sharp likely proper bitter extreme remote comfortable,Deep original upper glad good proper comfortable,Poor short sharp bitter extreme remote,early back slight occasional forty twelve likely,young old first many small dead whole low high black real public to-day new single least ye necessary clear warm,young old first many small high black real public new single least necessary clear warm,dead low to-day least,whole ye,new little open best silent human simple possible rich dark third different particular local me. obvious willing interested longer humble,’ ” good last great little second long large full better former late past fair hard respectable common latter usual
Howard's End,E.M. Forster,https://www.gutenberg.org/ebooks/2891.txt.utf-8,class bias,"This narrative delves into the class distinctions and conflicts of early 20th-century England, weaving a tale of a family and their country home as symbols of a changing society where class barriers are both upheld and challenged.",” little ’ young better bad important many it. silent personal natural glad afraid special true practical right absurd free,better important personal natural glad special true practical right free,little bad silent afraid absurd,” ’ young many it.,much right possible clear less flat false empty interesting able higher all. older foolish content tiresome longer invisible artistic public,right possible clear interesting able higher older content artistic,flat false empty less foolish tiresome invisible,much all. longer public,long wrong certain human dead whole anxious white open alive particular black second small easy true greater fine worth careful,Certain human whole open alive particular easy true greater fine worth careful,wrong dead anxious small,long white black second,’ last next least sure present big angry necessary whole pleasant stupid me. red immense sad large social funny sharp,last next least sure present big whole pleasant stupid immense large social funny sharp,angry necessary stupid red immense sad large funny,’ me.,“ ” poor new little real dear difficult impossible worse common sorry interested second terrible usual due tired enough steady,’ good old great first ” full ‘ beautiful different rich best many electronic serious strong happy odd quiet late
This Side of Paradise,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/805.txt.utf-8,class bias,"The bildungsroman portrays the struggle of a young man from an affluent background against the expectations of high society, revealing the superficiality and disenchantment of the post-WWI generation.",little full blue happy cold senior soft free great able clear eternal French mad conscious private nice usual emotional big,full happy senior soft free great able clear conscious nice big,little blue cold mad emotional,eternal French private usual,great next new sure electronic small present bad strong strange right wonderful wrong Good interested important curious safe Amory bright,great new sure present strong right wonderful good interested curious safe bright important,small bad strange wrong,next electronic Amory,first several white social green light human thin vague easy glad true physical hot possible evil mental rare common quick,first social light human easy glad true physical possible mental quick rare,vague evil common,several white green thin hot,last many long big whole certain sudden golden black large nervous popular to-night older stupid heavy ten least hundred less,last many long big whole certain sudden golden black large nervous popular older heavy ten least hundred,nervous to-night stupid,less,old little poor gray better dead hard real early wild deep dark big yellow late low red natural pale critical,much good young best beautiful high second afraid American brilliant romantic open tired different artificial rich general literary sentimental fair
A Portrait of the Artist as a Young Man,James Joyce,https://www.gutenberg.org/ebooks/4217.txt.utf-8,class bias,"Through the experiences of a young artist, the novel examines the stranglehold of social class on personal development and the conflict between individual expression and societal expectations in Ireland.",little great new ’ esthetic —I dead big small heavy weary much conscious dull hard nice clear single weak third,great new nice conscious clear,little dead small weary dull hard weak third,’ esthetic —I big heavy much single,strange right green whole human greatest certain hot fine sinful late thick christian willful enchanted brown subtle general greater raw,whole fine human greatest certain hot willful enchanted subtle greater right,strange sinful late raw,green thick christian brown general,old white warm red long high vague different tiny false slow mortal present short awful best unseen endless damp universal,Warm high Present best universal,Vague different false slow mortal short awful unseen endless damp,old white red long tiny,first last long good quiet sudden free dear black sure bad second better evil angry happy earthly narrow foul fair,first last long good quiet sudden free dear black better evil happy earthly narrow fair,bad evil angry foul,sure second,dark ’ many poor holy next true secret low proud thin humble idle deep blue higher sad wild instant common,cold young soft full beautiful good electronic silent pale fellow Irish —The terrible spiritual yellow loud tall vast open simple
The Awakening,Kate Chopin,https://www.gutenberg.org/ebooks/160.txt.utf-8,gender bias,"The book addresses the struggle of a woman against the societal expectations of the late 19th century, particularly in the American South, as she seeks personal and sexual freedom, challenging the traditional roles assigned to women.",little “ ” good young first new soft last long certain warm true many happy sweet strong genuine sure cold,good young first new soft long certain warm true happy sweet strong genuine sure,little last cold,“ ” many,quiet late able broad deep human easy excellent French past unhappy longer particular personal pleased uneasy asleep smooth nervous monotonous,able deep human easy excellent particular personal pleased smooth,quiet late unhappy uneasy nervious monotonous,broad French past longer asleep nervous,white whole next much low open pleasant better yellow rare different strange intimate thin outside general hard curious uncomfortable red,Whole open pleasant better rare intimate curious,Different strange hard uncomfortable,white next much low yellow thin outside general red,big early red large familiar bright fair green blue huge front physical delicate married daily light subtle brown various surprised,big early red large familiar bright fair green blue huge front physical delicate married daily light subtle brown various surprised,early huge subtle surprised,#N/A,black small great electronic many ready heavy dear beautiful rich long glad poor gray it. narrow hungry usual handsome second,’ old full delicious high dead free hot tall dark close quick disagreeable ‘ impossible present clear interested neighboring occasional
A Room with a View,E.M. Forster,https://www.gutenberg.org/ebooks/2641.txt.utf-8,class and gender bias,"The story depicts a young woman's struggle with the restrictive social conventions of Edwardian England, especially the constraints on travel and relationships, as she is torn between the expectations of her class and her desire for emotional and intellectual freedom.",’ little “ last better sorry dreadful nice bad glad certain least long impossible late angry white usual open best,better nice glad certain long open best,little last sorry dreadful bad least impossible late angry,’ “ white usual,good full many wrong happy wonderful delightful fair easy English nervous interested clear ready hard sympathetic unpleasant several hot rid,good full happy wonderful delightful fair easy interested clear ready sympathetic hot,wrong nervous unpleasant rid,many English hard several,’ first beautiful it. small odd real second conscious black whole red last unfortunate alive worse original foolish clean Miss,Beautiful real conscious alive original clean first,Small odd unfortunate worse foolish,’ it. second black whole red last Miss,great new sure right poor pleasant ‘ possible different glorious cold wish clever tiresome anxious difficult big suitable narrow unexpected,great new sure right pleasant possible different glorious cold wish clever anxious difficult big suitable narrow,cold tiresome unexpected,poor ‘,much able necessary long present terrible sad blue silly you. gracious modern us. whole delicate Lavish splendid tactful sensible yellow,” “ old young true dear electronic Italian silent next high human heavy less third worth gentle free public Good
The History of Mr. Polly,H.G. Wells,https://www.gutenberg.org/ebooks/7308.txt.utf-8,class bias,"The protagonist's dissatisfaction with his mundane life reflects the class biases of early 20th-century England, emphasizing the limitations and frustrations of lower-middle-class existence.",little full good best electronic open many blue aware active warm back .... peculiar grey wide impossible real empty poor,full good best open aware active warm real,little peculiar gray impossible empty poor,electronic many blue back .... grey wide,last black young human cold second whole high busy brown public short utmost considerable extraordinary strange distant serious difficult thin,young human high busy considerable extraordinary serious,cold strange distant difficult,last black second whole brown public short utmost thin,great first much free pleasant dead particular urgent various odd worse slow instant interesting fair remarkable ordinary friendly secret top,Great first pleasant particular instant interesting fair remarkable friendly free,Dead urgent odd worse slow ordinary secret,much various top,old long white bad good happy better certain hard bright broken possible agreeable general social sure late infinite thoughtful least,old long white good happy better certain hard bright broken possible agreeable general social sure late infinite thoughtful,bad broken late least,#N/A,new fat clear next several quiet wrong disagreeable fifteen curious pretty simple clean helpless Elfrid attractive early fresh present desperate,small large right red big beautiful green nice funeral broad wonderful fine third different Good hot strong mysterious spectacled larger
The Thirty-Nine Steps,John Buchan,https://www.gutenberg.org/ebooks/558.txt.utf-8,class bias,"The protagonist's adventures reveal the British class system, as he navigates a world of gentlemanly honor and working-class practicality while uncovering a political conspiracy.",little old good “ first green British German short hard left cold odd clean thick peaceful respectable enough rough hungry,good  clean thick peaceful respectable enough,little short hard cold odd rough hungry,old “ first green British German left,big great white high different back hundred right likely sick particular bright interested main fifty broken absolute innocent nervous younger,big great high right particular bright interested main innocent younger absolute,sick broken nervous,white different back hundred likely fifty,fine second easy soft true secret half-past English ready wide late many proper great fresh grey tiny mad false upper,Fine easy soft true ready proper fresh upper,Secret late Grey tiny mad,second half-past English wide many great FALSE,’ last ” electronic black ordinary free brown important deep local strong pleasant thirty-nine heavy warm sure safe difficult common,last electronic black ordinary free brown important deep local strong pleasant heavy warm sure safe difficult common,electronic ordinary deep common,’ ” thirty-nine,’ young next full whole certain best open several dead ten fair wild red less much worse dark Good sudden,better long new clear much blue flat low small bad real regular public slow possible third honest cool clever cheerful
An Outcast of the Islands,Joseph Conrad,https://www.gutenberg.org/ebooks/638.txt.utf-8,racial bias,"The plot explores racial bias through the downfall of a Western man in an Eastern setting, examining the destructive impact of colonial attitudes and the misperception of different races and cultures.",little good sudden small much high dead ready hard quick whole bitter invisible dry brilliant vague thick superior violent,good high ready quick hole brilliant superior,little small dead hard bitter invisible dry violent,sudden much whole vague thick,last strong quiet red open young right silent true strange soft mad next able better current green indistinct possible blind,strong open young right true soft able better current possible,quiet silent strange mad indistinct blind,last red next green,clear last second loud poor wild light alive sombre rich easy free perfect anxious certain steady attentive irresistible lower feeble,clear light alive rich easy free perfect certain steady attentive irresistible,last loud poor wild sombre anxious lower feeble,second,great long short angry first immense afraid cold slight sharp wide dangerous broad successful worth fresh calm enough blue frightened,great long short angry first immense cold sharp wide dangerous broad successful worth fresh calm enough blue frightened,angry afraid frightened,slight,white big black safe deep dark heavy human happy rapid empty narrow hot thin dull bad glorious impenetrable straight gloomy,old many full low first new unexpected best weak close past distant stiff gentle confidential awful distinct cool unsteady tired
Bleak House,Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8,class bias,"Dickens exposes class bias and the inequities of the British legal system, which privileges the wealthy and powerful while the poor suffer interminable delays and injustices.",young sure happy general low black able late ready necessary dead agreeable pretty particular light different greater excellent difficult hot,young sure happy able ready necessary agreeable pretty particular greater excellent hot,low late dead difficult,general black light different,little dear good fine natural strange easy heavy free fresh many Good professional red sharp guardian perfect mere dark dry,dear good fine natural easy free fresh good professional perfect guardian,strange sharp dark dry little,heavy many red mere,old “ great last better ’ guardian best full next open glad possible bad bright curious likely less human sorry,great better guardian best full open glad possible bright curious human,bad last less sorry old,“ ’ next likely,much ” certain pleasant afraid cold rich handsome it. private public real respectable interested sensible noble ill faithful to-night honourable,much certain pleasant cold rich handsome private public real respectable interested sensible noble ill faithful honourable,afraid to-night,” it.,young much long new last true hard strong beautiful quiet worse considerable miserable it. cheerful dearest greatest ten active wild,’ ” little good “ old dear great many poor first present whole right usual high large Lady least short
Madame Bovary,Gustave Flaubert,https://www.gutenberg.org/ebooks/2413.txt.utf-8,gender bias,"The societal constraints and double standards faced by women in 19th-century France are explored, with the protagonist's pursuit of passion leading to her tragic downfall.",old poor young better short vague little serious public notary ‘ rid straight brown usual impossible gentle various table yellow,young better gentle,old poor short vague little serious public impossible,notary ‘ rid straight brown usual various table yellow,full ” blue beautiful second big strong wrong ready angry sure terrible immense past wooden opposite grand weak anxious early,full beautiful big strong ready sure immense grand early,blue wrong angry terrible opposite weak anxious,” second past wooden,large black next red many certain low silent sad yellow wide dear contrary cold light best coarse bad third Good,certain light best good,low silent sad contrary cold coarse bad,large black next red many yellow wide dear third,open fine whole happy dead possible fair high different soft sweet hot deep regular hundred dry nervous left busy broken,open fine whole happy dead fair high different soft sweet hot deep regular hundred dry nervous left busy broken,dead nervous broken,possible,little ” ’ first pale “ electronic heavy several able sharp black necessary sudden empty eternal present single dark thick,“ last good long great much white small new green least senior true fresh right less afraid golden free extraordinary
The Princess and the Goblin,George MacDonald,https://www.gutenberg.org/ebooks/34339.txt.utf-8,class bias,"The fairy tale narrative subtly critiques class distinctions, as the young princess must learn to navigate and eventually bridge the gap between the royal world and the miners.",old new second bad certain curious horrid present big happy blue different lower pleasant precious hot older frightened free difficult,new certain present big happy pleasant precious free curious hot,old second vague silent remote foolish bad horrid blue different lower older frightened difficult,#N/A,safe white open dark nice young wild best clear hideous asleep sharp late rude wrong opposite weak aware top loveliest,safe open nice young best clear aware loveliest,dark hideous sharp late rude wrong opposite weak,white wild asleep top,great many first full afraid least last able small ready to-night red dear sorry soft single third fresh rough wrong,great first able ready dear soft fresh,afraid least last small sorry rough wrong,many full to-night red single third,electronic better whole true narrow lovely white light grand tiny straight careful fine silent thread usual former solid hungry fast,electronic better whole true narrow lovely white light grand tiny straight careful fine silent thread usual former solid hungry fast,hungry fast,#N/A,good sure much beautiful strange several queen hard high natural anxious particular considerable long-legged sufficient thick constant half uncomfortable terrible,little long next huge right low large horrible sweet strong glad poor quiet various miserable smooth possible dreadful steep unable
Dubliners,James Joyce,https://www.gutenberg.org/ebooks/2814.txt.utf-8,class bias,"The collection of short stories vividly paints the stratification of Irish society, focusing on the paralysis and stagnation of the middle and lower classes in early 20th-century Dublin.",young poor last silent cold fine brown warm hard soft front whole huge first small tall able younger vague foolish,fine warm soft whole huge tall able first,poor last silent cold hard small foolish,young brown front younger vague,“ white nice black hot ready next green decent bright strong strange friendly general wild fat angry German curious ten,ready decent bright strong friendly curious nice,hot strange wild fat,“ white black next green general angry German ten,many dark dead new large red better high best open serious sure thin grand sudden French different constable musical secret,better high best open sure grand musical,dark dead serious secret,many new large red thin sudden French different constable,” electronic bad Little light small big free blue true late wrong fair lower low present conscious thick human past,electronic bad little light small big free blue true late fair lower low present conscious thick human,bad wrong low past,”,long right sure short last .... small upper _The Irish pleasant deep afraid private final third nervous terrible fellow flat,little ’ old good young great first full much certain second beautiful least big heavy nose grey dull gay sorry
Sister Carrie,Theodore Dreiser,https://www.gutenberg.org/cache/epub/5267/pg5267.txt,class and gender bias,"The narrative follows a young woman's ascent from rural obscurity to the bustling city, examining how gender and class shape her experiences and relationships, and the often insurmountable barriers to success for women and the working class.",first long great better large whole right poor easy weary usual individual personal keen Several clean dramatic theatrical regular silent,first long great better large whole right easy individual personal keen clean ,poor weary dramatic theatrical silent,usual Several regular,little next small full best pleasant high third social slight wholesale miserable anxious terrible sharp worth successful broad sick hundred,full best pleasant high social sharp worth successful broad,little small miserable anxious terrible sick,next third slight wholesale hundred,least mental strong pretty general to-night electronic white glad soft warm mere dull enough interesting early due wrong deep familiar,strong pretty mental warm glad interesting early soft enough deep familiar,least dull wrong,general to-night electronic white mere due,much open present comfortable ready clear several hard happy big natural different ten bright blue weak excellent curious vague proper,much open present comfortable ready clear several hard happy big natural different ten bright blue weak excellent curious vague proper,hard weak proper,#N/A,good new flat great rich bad strange possible nervous serious nice busy to-day red true hungry real free interested green,little last old fine young many certain several sure cold difficult second common short peculiar delightful disagreeable pleased important latter
The Call of the Wild,Jack London,https://www.gutenberg.org/ebooks/215.txt.utf-8,class bias,"The novel portrays the domestication of a previously free animal, paralleling the class struggles of the time by demonstrating how external circumstances can impose a new identity and status upon an individual.", good hundred nose third true easy short primordial loose half sharp fourteen different afraid yellow hairy previous hostile spruce-bough,good true easy,short sharp afraid hostile,hundred nose third primordial loose half fourteen different yellow hairy previous spruce-bough,first many wild full whole soft terrible big greater alive quick bad poor nest free frozen splendid apparent fifty low,first full whole soft big greater alive quick free splendid,wild terrible bad poor frozen low,many nest apparent fifty,“ dead little red small weak good-natured mad weary fresh friendly fair lower back anxious content sure distant remarkable additional,good-natured fresh friendly fair content sure remarkable,dead small weak mad weary lower anxious distant,“ little red back additional,great old new sled white less wide large least general thin best official sun-kissed worse gee-pole high lean fine stricken,great old new sled white less wide large least general thin best official sun-kissed worse high lean fine,less worse stricken,gee-pole,’ open long main strong second wild cold hard certain aware silent current Several ten blind wounded warm upon likely,last long strange next much heavy ” right many forest fierce rapid clear constant weazened possible unable young unbroken like
Ethan Frome,Edith Wharton,https://www.gutenberg.org/ebooks/4517.txt.utf-8,class bias,"Set in a bleak New England winter, this novel explores how class and personal circumstance trap individuals in unfulfilling lives, highlighting the lack of opportunity and mobility for the lower classes.",long good new “ white silent first great poor certain free vague less wet considerable glad awful frozen grey,good new first great certain free considerable glad ,silent poor awful frozen grey,long “ white vague less wet,first big dark best empty sharp soft better light quiet wild fresh slight snow fifty different slim to-morrow ready high,first big best soft butter light fresh ready hi,empty dark sharp quiet wild,better slight snow fifty different slim to-morrow high,black full sudden low mean main happy strong nearest complete derivative confused tall practical official exempt pathological frightened favourite gray,main happy strong complete tall practical official favourite,low mean derivative confused pathological frightened gray,black full sudden nearest exempt,cold next open hard quick thin hired many immediate pickle-dish least early whole true extra lantern familiar flat perceptible closer,cold next open hard quick thin hired many immediate least early whole true extra lantern familiar flat perceptible closer,cold next hard thin early flat closer,pickle-dish,“ last little bad short smart strange previous natural dead sorry aware likely several large sick to-night upper blue left,” old “ young much small usual red heavy sure warm pale clear brown bright late pretty farther older narrow
Oliver Twist,Charles Dickens,https://www.gutenberg.org/ebooks/730.txt.utf-8,class and economic bias,"Dickens reveals class and economic biases by depicting the stark contrasts between the destitute orphan Oliver and the various levels of society, from the criminal underworld to the affluent.",great better it. silent dead particular high certain next worse light weak real previous late small pleasant recent slow hideous,great better high certain real pleasant,solent dead worse weak late small slow hideous,it. silent particular next light previous recent,little new full short former pale least second to-night good safe opposite sharp gloomy rapid present much wide sad hungry,new full good safe rapid present,little short pale opposite sharp gloomy sad hungry,former least second to-night much wide,’ ” dear happy right open full whole possible ready hard afraid several close alive different green secret angry quick,dear happy right full whole possible ready alive,afraid hard secret angry,’ ” open several close different green quick,first large strong dark bad short electronic violent fresh narrow usual mere bright enough fine general earnest worst mad curious,first large strong dark short electronic violent fresh narrow usual mere bright enough fine general earnest mad curious,bad violent mad,worst,“ good much white great next loud strange red true anxious porochial desperate free glad sweet considerable feeble sick empty,old ’ young ” “ many long last poor small low cold best heavy deep sure quiet black able gentle
David Copperfield,Charles Dickens,https://www.gutenberg.org/ebooks/766.txt.utf-8,class bias,"The journey of a young man from a humble upbringing to success, encountering the rigid class hierarchy of Victorian England, highlights the disparity between wealth and poverty.",right sorry afraid strong pretty greater ’ agreeable unhappy common anxious uncomfortable respectable rough curious familiar handsome pecuniary angry higher,right strong pretty greater agreeable respectable curious familiar handsome higher pecuniary,sorry afraid unhappy common anxious uncomfortable rough angry,’,’ many young ‘ happy dear low humble red true next strange last perfect it. least silent wrong great delightful,young happy dear humble true perfect great delightful,strange last least silent wrong,’ many ‘ low red next it.,sure little whole least possible several late second pleasant young ’ former solitary sensible blue conscious fresh eldest uneasy Good,sure whole possible pleasant young sensible conscious eldest fresh good,least late solitary uneasy,little several second ’ former blue,little much great dear short glad usual small black ready open beautiful past early wild young friendly distant serious sharp,little much great dear short glad usual small black ready open beautiful past early wild young friendly distant serious sharp,black distant sharp,#N/A,old first good best full hard general next natural bad white miserable particular different comfortable clear wonderful deep likely cheerful,’ ‘ little good old last long great better poor new present much certain quiet dear first large high dead
Of Human Bondage,W. Somerset Maugham,https://www.gutenberg.org/ebooks/351.txt.utf-8,class bias,"The protagonist's life, from orphaned boy to student doctor, showcases the impact of class on relationships and personal growth, and the pursuit of love across social divides.",fine sorry gray hot willing broad peculiar nervous quiet grateful yellow cheap clean following hungry Spanish bright useful conscious,fine hot willing broad grateful clean bright useful conscious,sorry gray peculiar nervous quiet cheap hungry,yellow following Spanish,’ little good young strange high open free French sudden next late wonderful green dear horrible simple medical quick indifferent,good young high open free wonderful wonderful dear quick,little strange late horrible simple indifferent,’ French sudden next green medical,“ old great able white best afraid poor anxious easy sick funny common impossible many ten odd wrong several human,great able best easy funny human,afraid old poor anxious common sick impossible odd wrong,“ white many ten several,” large last small many usual sure much hard right difficult heavy low good curious past worth you. true cold,large last small many usual sure much hard right difficult heavy low good curious past worth true cold,difficult cold,” you.,much black certain happy angry beautiful glad different full due short eager second tall necessary fair soft nice awful German,’ little first long last better new ” next red bad pleasant thin possible whole dead silent blue dark ready
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8,gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery, while her male partner faces significantly less condemnation.",public strange best dark certain present general pale professional alive sensitive feeble capable vast constant open various different essential outward,best certain present professional alive sensitive capable vast constant open essential,strange dark feeble,public general pale various different outward,little old “ much better red familiar high stern Indian early physical strong past intellectual singular remarkable close free gray,better familiar high early physical strong intellectual remarkable free,little old stern gray,“ much red Indian past singular close,thy wild poor whole black white spiritual sad heavy large latter natural solemn several physician intense daily military wide peculiar,spiritual natural ,wild poor sad heavy solemn intense peculiar,thy whole black white large latter several physician daily military wide,” human new young long small earthly bright quiet common next individual golden actual brief beautiful warm single slight sunny,human new young long small earthly bright quiet common next individual golden actual brief beautiful warm single slight sunny,slight,”,many first thou last full true electronic native less dead rich least former miserable sinful evil hard terrible open real,good great deep ’ moral secret forest venerable fair short official higher dreary happy due yonder conscious false pious powerful
Sons and Lovers,D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8,class bias,"The book examines the influence of class on relationships and aspirations in early 20th-century England, as the protagonist struggles against the restrictions imposed by his social status and the expectations of his community.",full red fine beautiful blue strong ’ large strange dead thin ‘ deep different wild cold peculiar bad short,fine beautiful strong large deep,strange dead wild cold peculiar bad short,full red blue ’ thin ‘ different,’ little great much big new nice hard hot brown low yellow it. ready pale intense wrong bitter free proud,great big new nice hot ready intense free proud,little hard low wrong bitter,’ much brown yellow it. pale,” white small good first angry certain tiny real least soft ten clean bright much able golden French mean mad,good first certain real soft clean bright able golden,small angry tiny least mean mad,” white ten much French,black last silent better happy warm quiet high green bad quick clear late thick furious worse sunny miserable anxious sharp,black last silent better happy warm quiet high green quick clear late thick sunny miserable anxious sharp,bad anxious sharp,furious worse,“ old dark ’ young sure heavy many whole open poor good cold next second true religious grey fair aware,” ’ “ long afraid last best right glad common wonderful wide nasty you. unable light rich naked past wooden
Moby-Dick,Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8,class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod, where the social stratification and roles onboard reflect broader societal class divisions.",’ thy strange general hard full thou entire fine deep best better sudden several “ previous sharp upper fair live,fine deep best better fair live sharp upper,strange hard,’ thy general full thou entire sudden several “ previous,last “ many certain high full second next mere ready dark possible final visible former terrible broken ordinary sweet worse,certain high full ready possible visible sweet,dark terrible broken ordinary worse,last “ many second next mere final former,little good small long sperm dead vast white Indian common wide grand single various famous low enormous steady fifty hot,good grand famous steady,little small common low,long sperm dead vast white Indian wide single various enormous fifty hot,great much whole white least present ye open noble right wondrous sure new wild soft human peculiar considerable complete alive,great much whole white least present ye open noble right wondrous sure new wild soft human peculiar considerable complete alive,least right peculiar alive,#N/A,old first ’ whale young true lower mortal easy strong ‘ heavy red less different third last silent slightest tall,” old poor black large long curious short broad particular green wild last unknown natural huge electronic fresh nigh similar
The Color Purple,Alice Walker,https://www.gutenberg.org/ebooks/175.txt.utf-8,racial and gender bias,"The novel confronts racial and gender oppression in the early 20th-century American South, giving voice to African American women who face both racism and sexism.",whole terrible dead black natural extraordinary afraid bad serious free high second strange deep enormous full impossible careful important rosy,whole natural extraordinary free high deep enormous full careful important rosy,terrible dead afraid bad serious strange impossible,black second,little young good poor Persian much better electronic mysterious able real mad dear alive dark possible awful new trap-door incredible,young good better able real dear alive possible new incredible,little poor mysterious mad dark awful,Persian much electronic trap-door,old great red full ready ordinary horrible huge human beautiful short unhappy right difficult under-secretary best magnificent distant big hot,great ready human beautiful right best magnificent,old ordinary short unhappy difficult distant,red full horrible huge under-secretary big hot,twenty-thousand sure small certain next open famous necessary fantastic unknown invisible low large sad lower chief several masked childish ten,twenty-thousand sure small certain next open famous necessary fantastic unknown invisible low large sad lower chief several masked childish,sad lower childish,ten,first curious many third least secret next to-morrow new present flat greatest immense to-night soft simple silent blue wonderful eleven,last white long right grand true private pale fresh second lantern dangerous fine late Louis-Philippe furious rid gloomy sweet yellow
The Secret Garden,Frances Hodgson Burnett,https://www.gutenberg.org/ebooks/113.txt.utf-8,class bias,"This children's novel subtly critiques class distinctions through the transformation of a neglected garden and the blossoming friendships across classes, illustrating the artificial nature of social barriers.",sure ” tiny beautiful high second comfortable real contrary tired puzzled last golden straight close easy friendly fretful nothin delicate,sure beautiful high comfortable real golden easy friendly delicate,tiny second contrary tired puzzled fretful,” last straight close nothin,good strange black many least wild small happy glad ill several lovely sharp grand stronger careful odd dead large slow,good happy lovely grand stronger careful large,strange least wild small sharp dead odd slow ill,black many glad several,’ th great young much nice different little red curious electronic it. wide ten wonderful hot best hungry warm fair,great young nice curious wonderful best fair warm,hungry,’ th much different little red electronic it. wide ten hot,old first new secret long green fresh strong alive thin low gray next afraid better th mysterious possible safe sour,old first new secret long green fresh strong alive thin low gray next afraid better mysterious possible safe sour,afraid sour,th,“ big last white blue whole dead angry pleased pretty right deep ’ funny native poor natural cold nest good-natured,little ” tha full soft open ’ fine thick interested thy dark long quiet wrong late short bright pale disagreeable
The Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8,racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim, challenging the entrenched racism and the dehumanization of African Americans in the antebellum South.",big long warn poor free best low n slow rich back real nigger ten considerable close mean quick dry general,big long free best rich real considerable quick,warn poor low slow [slur] dry mean,back ten close general,’ last next young easy bad awful much different current sick mighty tow-head quiet loose light clear regular likely grand,young easy mighty light clear likely grand,last bad awful different sick quiet,’ next much current tow-head loose regular,right white black it. safe hard dark enough Next straw true dreadful sure fifty fur gray much happy red mournful,right safe enough true happy sure,hard dark dreadful gray mournful,white black it. Next straw fifty fur much red,dead better many ready much comfortable cold hundred wide en wild fifteen pretty soft alive late front thick dear lightning-rod,dead better many ready much comfortable cold hundred wide en wild fifteen pretty soft alive late front thick dear,cold lightning-rod,#N/A,” first new considerable sudden by-and-by solid nice natural ole funeral worth _I_ wrong small un lantern satisfied foolish thousand,’ good old little “ ” whole full open second electronic high glad runaway uz sure powerful worse dey beautiful
The Time Machine,H.G. Wells,https://www.gutenberg.org/ebooks/35.txt.utf-8,class/economic bias,"The novella extrapolates class and economic divides into the distant future, depicting a dystopian society where the human race has evolved into two species: the privileged Eloi and the oppressed Morlocks, a metaphor for the exploitation of the working class by the elite.",first long “ red big next clear huge larger abundant different present vague silent remote safe previous general foolish,first big clear huge larger abundant present safe,different vague silent remote foolish,long “ red next previous general,black much second open several horrible intellectual pale many perfect high rare particular splendid mere yellow broad indistinct careful clumsy,open intellectual perfect high rare particular splendid broad careful,horrible pale clumsy indistinct,black much second several many mere yellow,great strange ’ human first real peculiar better current dark wild best grey simple metallic low considerable weak visible restless,great human first real better best considerable visible,strange peculiar dark wild grey simple metallic low weak restless,’ current,full slower wrong large good least natural intense unpleasant slight pretty absolute afraid extreme strong curious rich true hundred public,full slower wrong large good least natural intense unpleasant slight pretty absolute afraid extreme strong curious rich true hundred,wrong unpleasant afraid mad,public,little certain ” soft bright green vast beautiful sudden physical familiar possible brown dim sure inevitable ruinous hard hot immediate,white last new old small whole odd less thick free mere social unknown pleasant past underground incredible strong narrow ‘
